A: 01 F: B0 B: 00 C: 13 D: 00 E: D8 H: 01 L: 4D SP: FFFE PC: 00:0100 (00 C3 13 02)
A: 01 F: B0 B: 00 C: 13 D: 00 E: D8 H: 01 L: 4D SP: FFFE PC: 00:0101 (C3 13 02 CE)
A: 01 F: B0 B: 00 C: 13 D: 00 E: D8 H: 01 L: 4D SP: FFFE PC: 00:0213 (21 00 40 C3)
A: 01 F: B0 B: 00 C: 13 D: 00 E: D8 H: 40 L: 00 SP: FFFE PC: 00:0216 (C3 00 02 00)
A: 01 F: B0 B: 00 C: 13 D: 00 E: D8 H: 40 L: 00 SP: FFFE PC: 00:0200 (47 11 00 C0)
A: 01 F: B0 B: 01 C: 13 D: 00 E: D8 H: 40 L: 00 SP: FFFE PC: 00:0201 (11 00 C0 0E)
A: 01 F: B0 B: 01 C: 13 D: C0 E: 00 H: 40 L: 00 SP: FFFE PC: 00:0204 (0E 10 2A 12)
A: 01 F: B0 B: 01 C: 10 D: C0 E: 00 H: 40 L: 00 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C3 F: B0 B: 01 C: 10 D: C0 E: 00 H: 40 L: 01 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C3 F: B0 B: 01 C: 10 D: C0 E: 00 H: 40 L: 01 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C3 F: 10 B: 01 C: 10 D: C0 E: 01 H: 40 L: 01 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C3 F: 10 B: 01 C: 10 D: C0 E: 01 H: 40 L: 01 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 01 H: 40 L: 02 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 01 H: 40 L: 02 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 02 H: 40 L: 02 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 20 F: 10 B: 01 C: 10 D: C0 E: 02 H: 40 L: 02 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: C2 F: 10 B: 01 C: 10 D: C0 E: 02 H: 40 L: 03 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: C2 F: 10 B: 01 C: 10 D: C0 E: 02 H: 40 L: 03 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: C2 F: 10 B: 01 C: 10 D: C0 E: 03 H: 40 L: 03 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: C2 F: 10 B: 01 C: 10 D: C0 E: 03 H: 40 L: 03 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: D6 F: 10 B: 01 C: 10 D: C0 E: 03 H: 40 L: 04 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: D6 F: 10 B: 01 C: 10 D: C0 E: 03 H: 40 L: 04 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: D6 F: 10 B: 01 C: 10 D: C0 E: 04 H: 40 L: 04 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: D6 F: 10 B: 01 C: 10 D: C0 E: 04 H: 40 L: 04 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 05 F: 10 B: 01 C: 10 D: C0 E: 04 H: 40 L: 05 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 05 F: 10 B: 01 C: 10 D: C0 E: 04 H: 40 L: 05 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 05 F: 10 B: 01 C: 10 D: C0 E: 05 H: 40 L: 05 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 05 F: 10 B: 01 C: 10 D: C0 E: 05 H: 40 L: 05 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 05 H: 40 L: 06 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 05 H: 40 L: 06 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 06 H: 40 L: 06 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 06 H: 40 L: 06 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: FC F: 10 B: 01 C: 10 D: C0 E: 06 H: 40 L: 07 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: FC F: 10 B: 01 C: 10 D: C0 E: 06 H: 40 L: 07 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: FC F: 10 B: 01 C: 10 D: C0 E: 07 H: 40 L: 07 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: FC F: 10 B: 01 C: 10 D: C0 E: 07 H: 40 L: 07 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 1F F: 10 B: 01 C: 10 D: C0 E: 07 H: 40 L: 08 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 1F F: 10 B: 01 C: 10 D: C0 E: 07 H: 40 L: 08 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 1F F: 10 B: 01 C: 10 D: C0 E: 08 H: 40 L: 08 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 1F F: 10 B: 01 C: 10 D: C0 E: 08 H: 40 L: 08 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 08 H: 40 L: 09 SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 08 H: 40 L: 09 SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 09 H: 40 L: 09 SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 30 F: 10 B: 01 C: 10 D: C0 E: 09 H: 40 L: 09 SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 09 H: 40 L: 0A SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 09 H: 40 L: 0A SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0A SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 00 F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0A SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0B SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0A H: 40 L: 0B SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0B SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: CE F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0B SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0C SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0B H: 40 L: 0C SP: FFFE PC: 00:0208 (1C 20 FB 14)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0C SP: FFFE PC: 00:0209 (20 FB 14 0D)
A: 01 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0C SP: FFFE PC: 00:0206 (2A 12 1C 20)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0D SP: FFFE PC: 00:0207 (12 1C 20 FB)
A: D0 F: 10 B: 01 C: 10 D: C0 E: 0C H: 40 L: 0D SP: FFFE PC: 00:0208 (1C 20 FB 14)
